Admissions/Covers,Members,date
310,55,2023-06-01
376,69,2023-06-02
590,83,2023-06-03
641,116,2023-06-04
454,99,2023-06-05
472,66,2023-06-06
483,69,2023-06-07
562,88,2023-06-08
531,112,2023-06-09
798,97,2023-06-10
678,118,2023-06-11
602,80,2023-06-12
499,86,2023-06-13
557,83,2023-06-14
640,108,2023-06-15
427,62,2023-06-16
1175,104,2023-06-17
1046,130,2023-06-18
753,123,2023-06-19
680,109,2023-06-20
874,94,2023-06-21
767,110,2023-06-22
819,118,2023-06-23
915,129,2023-06-24
772,127,2023-06-25
743,108,2023-06-26
750,90,2023-06-27
786,98,2023-06-28
772,130,2023-06-29
727,146,2023-06-30
