Admissions/Covers,Members,date
399,90,2023-01-01
310,67,2023-01-02
119,31,2023-01-03
147,59,2023-01-04
208,46,2023-01-05
174,60,2023-01-06
469,91,2023-01-07
239,82,2023-01-08
67,49,2023-01-09
10,7,2023-01-10
79,28,2023-01-11
88,51,2023-01-12
182,80,2023-01-13
503,86,2023-01-14
312,62,2023-01-15
157,66,2023-01-16
29,6,2023-01-17
31,25,2023-01-18
53,34,2023-01-19
167,45,2023-01-20
380,47,2023-01-21
243,47,2023-01-22
45,45,2023-01-23
2,0,2023-01-24
72,30,2023-01-25
83,57,2023-01-26
184,54,2023-01-27
355,65,2023-01-28
198,53,2023-01-29
52,30,2023-01-30
7,14,2023-01-31
