Admissions/Covers,Members,date
258,50,2022-01-01
263,54,2022-01-02
149,20,2022-01-03
116,13,2022-01-04
69,43,2022-01-05
0,0,2022-01-06
0,1,2022-01-07
0,3,2022-01-08
0,1,2022-01-09
0,0,2022-01-10
0,0,2022-01-11
81,53,2022-01-12
75,53,2022-01-13
141,60,2022-01-14
407,101,2022-01-15
328,42,2022-01-16
195,74,2022-01-17
0,1,2022-01-18
79,59,2022-01-19
105,55,2022-01-20
128,49,2022-01-21
357,128,2022-01-22
234,44,2022-01-23
79,29,2022-01-24
0,0,2022-01-25
77,48,2022-01-26
83,28,2022-01-27
148,70,2022-01-28
323,78,2022-01-29
222,77,2022-01-30
54,53,2022-01-31
