Admissions/Covers,Members,date
34,18,2022-11-01
32,16,2022-11-02
66,23,2022-11-03
95,49,2022-11-04
227,84,2022-11-05
190,81,2022-11-06
-10,4,2022-11-07
0,0,2022-11-08
0,1,2022-11-09
67,31,2022-11-10
130,52,2022-11-11
322,65,2022-11-12
116,50,2022-11-13
62,27,2022-11-14
35,7,2022-11-15
51,26,2022-11-16
73,42,2022-11-17
83,47,2022-11-18
216,55,2022-11-19
259,68,2022-11-20
287,37,2022-11-21
148,19,2022-11-22
248,56,2022-11-23
65,13,2022-11-24
631,71,2022-11-25
481,73,2022-11-26
177,88,2022-11-27
36,32,2022-11-28
22,5,2022-11-29
37,34,2022-11-30
