Admissions/Covers,Members,date
2,0,2023-10-01
0,0,2023-10-02
254,37,2023-10-03
278,56,2023-10-04
331,53,2023-10-05
388,67,2023-10-06
653,52,2023-10-07
621,123,2023-10-08
467,60,2023-10-09
310,40,2023-10-10
305,55,2023-10-11
298,49,2023-10-12
466,81,2023-10-13
682,77,2023-10-14
470,115,2023-10-15
316,59,2023-10-16
265,46,2023-10-17
211,43,2023-10-18
295,57,2023-10-19
451,75,2023-10-20
607,80,2023-10-21
363,66,2023-10-22
104,56,2023-10-23
82,42,2023-10-24
122,58,2023-10-25
123,39,2023-10-26
204,47,2023-10-27
287,74,2023-10-28
161,80,2023-10-29
84,43,2023-10-30
66,39,2023-10-31
