Admissions/Covers,Members,date
425,70,2023-09-01
1148,110,2023-09-02
1353,131,2023-09-03
841,108,2023-09-04
327,70,2023-09-05
218,47,2023-09-06
303,83,2023-09-07
399,80,2023-09-08
691,105,2023-09-09
334,73,2023-09-10
314,77,2023-09-11
215,44,2023-09-12
208,75,2023-09-13
240,70,2023-09-14
333,74,2023-09-15
600,110,2023-09-16
399,109,2023-09-17
166,41,2023-09-18
210,33,2023-09-19
292,47,2023-09-20
332,69,2023-09-21
392,86,2023-09-22
684,96,2023-09-23
518,98,2023-09-24
319,60,2023-09-25
227,63,2023-09-26
306,75,2023-09-27
367,76,2023-09-28
494,85,2023-09-29
626,88,2023-09-30
