Admissions/Covers,Members,date
89,50,2024-02-01
102,53,2024-02-02
339,45,2024-02-03
204,95,2024-02-04
81,57,2024-02-05
3,6,2024-02-06
55,27,2024-02-07
97,57,2024-02-08
142,50,2024-02-09
298,66,2024-02-10
156,68,2024-02-11
107,39,2024-02-12
44,24,2024-02-13
121,43,2024-02-14
88,30,2024-02-15
180,64,2024-02-16
520,89,2024-02-17
498,92,2024-02-18
0,0,2024-02-19
0,0,2024-02-20
0,0,2024-02-21
0,0,2024-02-22
0,0,2024-02-23
527,129,2024-02-24
319,85,2024-02-25
97,48,2024-02-26
25,8,2024-02-27
60,60,2024-02-28
105,50,2024-02-29
