Admissions/Covers,Members,date
759,126,2022-07-01
1090,133,2022-07-02
1071,122,2022-07-03
832,85,2022-07-04
432,143,2022-07-05
545,123,2022-07-06
995,127,2022-07-07
1012,140,2022-07-08
963,126,2022-07-09
455,90,2022-07-10
620,97,2022-07-11
559,122,2022-07-12
619,60,2022-07-13
633,109,2022-07-14
783,110,2022-07-15
984,144,2022-07-16
689,116,2022-07-17
501,111,2022-07-18
706,119,2022-07-19
869,143,2022-07-20
738,116,2022-07-21
707,152,2022-07-22
930,122,2022-07-23
599,80,2022-07-24
643,77,2022-07-25
628,96,2022-07-26
640,81,2022-07-27
515,51,2022-07-28
807,89,2022-07-29
782,128,2022-07-30
733,109,2022-07-31
