Admissions/Covers,Members,date
58,44,2023-02-01
95,46,2023-02-02
178,75,2023-02-03
434,116,2023-02-04
206,81,2023-02-05
49,22,2023-02-06
7,16,2023-02-07
117,37,2023-02-08
70,51,2023-02-09
155,53,2023-02-10
424,73,2023-02-11
151,56,2023-02-12
86,23,2023-02-13
16,11,2023-02-14
19,8,2023-02-15
84,41,2023-02-16
224,50,2023-02-17
506,66,2023-02-18
393,35,2023-02-19
189,52,2023-02-20
26,16,2023-02-21
0,4,2023-02-22
75,33,2023-02-23
123,47,2023-02-24
344,97,2023-02-25
214,63,2023-02-26
90,41,2023-02-27
-3,12,2023-02-28
