Admissions/Covers,Members,date
31,33,2023-12-01
120,32,2023-12-02
105,50,2023-12-03
44,50,2023-12-04
53,36,2023-12-05
38,37,2023-12-06
42,63,2023-12-07
63,25,2023-12-08
210,70,2023-12-09
20,17,2023-12-10
44,37,2023-12-11
0,2,2023-12-12
37,20,2023-12-13
32,26,2023-12-14
98,73,2023-12-15
245,65,2023-12-16
189,97,2023-12-17
86,45,2023-12-18
84,28,2023-12-19
166,56,2023-12-20
174,81,2023-12-21
194,67,2023-12-22
400,67,2023-12-23
254,27,2023-12-24
0,0,2023-12-25
617,42,2023-12-26
630,68,2023-12-27
517,97,2023-12-28
759,61,2023-12-29
796,111,2023-12-30
526,95,2023-12-31
