Admissions/Covers,Members,date
526,84,2024-01-01
269,65,2024-01-02
286,55,2024-01-03
285,58,2024-01-04
300,53,2024-01-05
390,80,2024-01-06
260,53,2024-01-07
0,0,2024-01-08
29,3,2024-01-09
43,38,2024-01-10
62,8,2024-01-11
107,46,2024-01-12
370,61,2024-01-13
232,50,2024-01-14
175,30,2024-01-15
29,16,2024-01-16
77,37,2024-01-17
81,52,2024-01-18
179,62,2024-01-19
430,108,2024-01-20
161,68,2024-01-21
58,36,2024-01-22
33,22,2024-01-23
73,64,2024-01-24
66,51,2024-01-25
127,50,2024-01-26
377,121,2024-01-27
227,90,2024-01-28
120,72,2024-01-29
58,34,2024-01-30
76,79,2024-01-31
