Admissions/Covers,Members,Total Admissions,date
425,70,495,2023-09-01
1148,110,1258,2023-09-02
1353,131,1484,2023-09-03
841,108,949,2023-09-04
327,70,397,2023-09-05
218,47,265,2023-09-06
303,83,386,2023-09-07
399,80,479,2023-09-08
691,105,796,2023-09-09
334,73,407,2023-09-10
314,77,391,2023-09-11
215,44,259,2023-09-12
208,75,283,2023-09-13
240,70,310,2023-09-14
333,74,407,2023-09-15
600,110,710,2023-09-16
399,109,508,2023-09-17
166,41,207,2023-09-18
210,33,243,2023-09-19
292,47,339,2023-09-20
332,69,401,2023-09-21
392,86,478,2023-09-22
684,96,780,2023-09-23
518,98,616,2023-09-24
319,60,379,2023-09-25
227,63,290,2023-09-26
306,75,381,2023-09-27
367,76,443,2023-09-28
494,85,579,2023-09-29
626,88,714,2023-09-30
