Admissions/Covers,Members,Total Admissions,date
811,102,913,2024-07-01
1169,147,1316,2024-07-02
1056,147,1203,2024-07-03
1116,87,1203,2024-07-04
1739,145,1884,2024-07-05
1481,195,1676,2024-07-06
863,203,1066,2024-07-07
786,146,932,2024-07-08
794,116,910,2024-07-09
918,82,1000,2024-07-10
829,126,955,2024-07-11
1013,177,1190,2024-07-12
1071,128,1199,2024-07-13
684,99,783,2024-07-14
680,69,749,2024-07-15
716,120,836,2024-07-16
851,131,982,2024-07-17
849,70,919,2024-07-18
824,104,928,2024-07-19
823,97,920,2024-07-20
889,129,1018,2024-07-21
803,46,849,2024-07-22
871,128,999,2024-07-23
1086,95,1181,2024-07-24
944,91,1035,2024-07-25
835,98,933,2024-07-26
1153,116,1269,2024-07-27
1004,124,1128,2024-07-28
651,99,750,2024-07-29
936,98,1034,2024-07-30
802,92,894,2024-07-31
