Admissions/Covers,Members,Total Admissions,date
321,20,341,2024-05-21
233,57,290,2024-05-22
306,51,357,2024-05-23
324,70,394,2024-05-24
773,61,834,2024-05-25
1133,114,1247,2024-05-26
661,121,782,2024-05-27
413,59,472,2024-05-28
431,78,509,2024-05-29
384,75,459,2024-05-30
450,101,551,2024-05-31
629,105,734,2024-06-01
688,151,839,2024-06-02
430,70,500,2024-06-03
511,71,582,2024-06-04
478,91,569,2024-06-05
558,121,679,2024-06-06
497,84,581,2024-06-07
770,106,876,2024-06-08
627,138,765,2024-06-09
466,87,553,2024-06-10
600,98,698,2024-06-11
646,96,742,2024-06-12
727,94,821,2024-06-13
437,39,476,2024-06-14
871,136,1007,2024-06-15
795,122,917,2024-06-16
671,88,759,2024-06-17
747,83,830,2024-06-18
750,141,891,2024-06-19
519,79,598,2024-06-20
536,52,588,2024-06-21
899,94,993,2024-06-22
710,152,862,2024-06-23
745,137,882,2024-06-24
758,120,878,2024-06-25
519,100,619,2024-06-26
398,63,461,2024-06-27
896,109,1005,2024-06-28
662,106,768,2024-06-29
822,124,946,2024-06-30
811,102,913,2024-07-01
1169,147,1316,2024-07-02
1056,147,1203,2024-07-03
1116,87,1203,2024-07-04
1739,145,1884,2024-07-05
1481,195,1676,2024-07-06
863,203,1066,2024-07-07
786,146,932,2024-07-08
794,116,910,2024-07-09
918,82,1000,2024-07-10
829,126,955,2024-07-11
1013,177,1190,2024-07-12
1071,128,1199,2024-07-13
684,99,783,2024-07-14
680,69,749,2024-07-15
716,120,836,2024-07-16
851,131,982,2024-07-17
849,70,919,2024-07-18
824,104,928,2024-07-19
823,97,920,2024-07-20
889,129,1018,2024-07-21
803,46,849,2024-07-22
871,128,999,2024-07-23
1086,95,1181,2024-07-24
944,91,1035,2024-07-25
835,98,933,2024-07-26
1153,116,1269,2024-07-27
1004,124,1128,2024-07-28
651,99,750,2024-07-29
936,98,1034,2024-07-30
802,92,894,2024-07-31
