Admissions/Covers,Members,Total Admissions,date
522,83,605,2022-08-01
790,109,899,2022-08-02
674,105,779,2022-08-03
579,98,677,2022-08-04
669,96,765,2022-08-05
906,119,1025,2022-08-06
707,125,832,2022-08-07
649,78,727,2022-08-08
587,116,703,2022-08-09
559,116,675,2022-08-10
472,64,536,2022-08-11
663,141,804,2022-08-12
838,100,938,2022-08-13
724,135,859,2022-08-14
354,91,445,2022-08-15
332,66,398,2022-08-16
393,62,455,2022-08-17
468,114,582,2022-08-18
303,75,378,2022-08-19
639,105,744,2022-08-20
481,90,571,2022-08-21
310,46,356,2022-08-22
380,82,462,2022-08-23
296,105,401,2022-08-24
324,75,399,2022-08-25
277,80,357,2022-08-26
834,154,988,2022-08-27
509,97,606,2022-08-28
345,84,429,2022-08-29
317,85,402,2022-08-30
237,67,304,2022-08-31
