Admissions/Covers,Members,Total Admissions,date
58,46,104,2023-11-01
71,53,124,2023-11-02
154,60,214,2023-11-03
286,90,376,2023-11-04
219,91,310,2023-11-05
105,64,169,2023-11-06
23,15,38,2023-11-07
48,33,81,2023-11-08
78,41,119,2023-11-09
133,76,209,2023-11-10
293,67,360,2023-11-11
227,103,330,2023-11-12
48,41,89,2023-11-13
39,31,70,2023-11-14
66,50,116,2023-11-15
39,35,74,2023-11-16
74,81,155,2023-11-17
316,75,391,2023-11-18
192,58,250,2023-11-19
232,45,277,2023-11-20
291,40,331,2023-11-21
314,65,379,2023-11-22
123,35,158,2023-11-23
492,56,548,2023-11-24
406,54,460,2023-11-25
172,72,244,2023-11-26
62,47,109,2023-11-27
43,47,90,2023-11-28
56,36,92,2023-11-29
30,29,59,2023-11-30
