Admissions/Covers,Members,Total Admissions,date
0,0,0,2022-03-01
112,63,175,2022-03-02
115,52,167,2022-03-03
162,29,191,2022-03-04
375,73,448,2022-03-05
190,70,260,2022-03-06
106,23,129,2022-03-07
0,0,0,2022-03-08
135,47,182,2022-03-09
105,37,142,2022-03-10
207,50,257,2022-03-11
496,87,583,2022-03-12
302,50,352,2022-03-13
285,50,335,2022-03-14
0,0,0,2022-03-15
425,44,469,2022-03-16
278,28,306,2022-03-17
340,77,417,2022-03-18
512,92,604,2022-03-19
393,48,441,2022-03-20
359,27,386,2022-03-21
0,0,0,2022-03-22
369,64,433,2022-03-23
199,53,252,2022-03-24
379,63,442,2022-03-25
508,60,568,2022-03-26
400,59,459,2022-03-27
189,37,226,2022-03-28
0,0,0,2022-03-29
127,38,165,2022-03-30
163,69,232,2022-03-31
