Admissions/Covers,Members,Total Admissions,date
399,79,478,2023-04-01
229,56,285,2023-04-02
61,4,65,2023-04-03
0,0,0,2023-04-04
85,35,120,2023-04-05
171,52,223,2023-04-06
158,43,201,2023-04-07
353,79,432,2023-04-08
180,56,236,2023-04-09
84,47,131,2023-04-10
40,6,46,2023-04-11
117,39,156,2023-04-12
76,28,104,2023-04-13
124,49,173,2023-04-14
287,74,361,2023-04-15
191,92,283,2023-04-16
0,0,0,2023-04-17
0,0,0,2023-04-18
30,0,30,2023-04-19
0,0,0,2023-04-20
0,1,1,2023-04-21
0,0,0,2023-04-22
0,0,0,2023-04-23
0,0,0,2023-04-24
0,0,0,2023-04-25
91,39,130,2023-04-26
81,55,136,2023-04-27
121,60,181,2023-04-28
445,104,549,2023-04-29
271,101,372,2023-04-30
