Admissions/Covers,Members,Total Admissions,date
90,40,130,2024-05-01
160,38,198,2024-05-02
126,73,199,2024-05-03
356,59,415,2024-05-04
3,17,20,2024-05-05
108,34,142,2024-05-06
66,50,116,2024-05-07
81,57,138,2024-05-08
82,41,123,2024-05-09
215,40,255,2024-05-10
359,46,405,2024-05-11
340,101,441,2024-05-12
134,56,190,2024-05-13
189,36,225,2024-05-14
167,45,212,2024-05-15
185,68,253,2024-05-16
257,80,337,2024-05-17
374,109,483,2024-05-18
375,87,462,2024-05-19
176,45,221,2024-05-20
321,20,341,2024-05-21
233,57,290,2024-05-22
306,51,357,2024-05-23
324,70,394,2024-05-24
773,61,834,2024-05-25
1133,114,1247,2024-05-26
661,121,782,2024-05-27
413,59,472,2024-05-28
431,78,509,2024-05-29
384,75,459,2024-05-30
450,101,551,2024-05-31
