Admissions/Covers,Members,Total Admissions,date
0,1,1,2022-02-01
54,43,97,2022-02-02
94,40,134,2022-02-03
179,51,230,2022-02-04
389,117,506,2022-02-05
209,76,285,2022-02-06
105,64,169,2022-02-07
0,0,0,2022-02-08
78,47,125,2022-02-09
77,57,134,2022-02-10
145,92,237,2022-02-11
402,116,518,2022-02-12
187,49,236,2022-02-13
108,62,170,2022-02-14
0,0,0,2022-02-15
136,45,181,2022-02-16
92,55,147,2022-02-17
192,73,265,2022-02-18
705,123,828,2022-02-19
494,135,629,2022-02-20
221,41,262,2022-02-21
0,0,0,2022-02-22
78,32,110,2022-02-23
73,35,108,2022-02-24
201,69,270,2022-02-25
452,79,531,2022-02-26
280,72,352,2022-02-27
96,39,135,2022-02-28
