Admissions/Covers,Members,Total Admissions,date
2,0,2,2023-10-01
0,0,0,2023-10-02
254,37,291,2023-10-03
278,56,334,2023-10-04
331,53,384,2023-10-05
388,67,455,2023-10-06
653,52,705,2023-10-07
621,123,744,2023-10-08
467,60,527,2023-10-09
310,40,350,2023-10-10
305,55,360,2023-10-11
298,49,347,2023-10-12
466,81,547,2023-10-13
682,77,759,2023-10-14
470,115,585,2023-10-15
316,59,375,2023-10-16
265,46,311,2023-10-17
211,43,254,2023-10-18
295,57,352,2023-10-19
451,75,526,2023-10-20
607,80,687,2023-10-21
363,66,429,2023-10-22
104,56,160,2023-10-23
82,42,124,2023-10-24
122,58,180,2023-10-25
123,39,162,2023-10-26
204,47,251,2023-10-27
287,74,361,2023-10-28
161,80,241,2023-10-29
84,43,127,2023-10-30
66,39,105,2023-10-31
