Admissions/Covers,Members,Total Admissions,date
524,75,599,2022-10-01
160,20,180,2022-10-02
117,49,166,2022-10-03
334,76,410,2022-10-04
236,37,273,2022-10-05
299,69,368,2022-10-06
337,62,399,2022-10-07
660,69,729,2022-10-08
496,59,555,2022-10-09
253,62,315,2022-10-10
240,48,288,2022-10-11
213,48,261,2022-10-12
375,61,436,2022-10-13
524,59,583,2022-10-14
725,72,797,2022-10-15
366,71,437,2022-10-16
206,62,268,2022-10-17
92,22,114,2022-10-18
167,67,234,2022-10-19
246,50,296,2022-10-20
359,65,424,2022-10-21
395,57,452,2022-10-22
150,40,190,2022-10-23
80,28,108,2022-10-24
80,13,93,2022-10-25
73,43,116,2022-10-26
62,27,89,2022-10-27
135,78,213,2022-10-28
287,88,375,2022-10-29
189,87,276,2022-10-30
50,41,91,2022-10-31
