Admissions/Covers,Members,Total Admissions,date
759,126,885,2022-07-01
1090,133,1223,2022-07-02
1071,122,1193,2022-07-03
832,85,917,2022-07-04
432,143,575,2022-07-05
545,123,668,2022-07-06
995,127,1122,2022-07-07
1012,140,1152,2022-07-08
963,126,1089,2022-07-09
455,90,545,2022-07-10
620,97,717,2022-07-11
559,122,681,2022-07-12
619,60,679,2022-07-13
633,109,742,2022-07-14
783,110,893,2022-07-15
984,144,1128,2022-07-16
689,116,805,2022-07-17
501,111,612,2022-07-18
706,119,825,2022-07-19
869,143,1012,2022-07-20
738,116,854,2022-07-21
707,152,859,2022-07-22
930,122,1052,2022-07-23
599,80,679,2022-07-24
643,77,720,2022-07-25
628,96,724,2022-07-26
640,81,721,2022-07-27
515,51,566,2022-07-28
807,89,896,2022-07-29
782,128,910,2022-07-30
733,109,842,2022-07-31
