Admissions/Covers,Members,Total Admissions,date
252,77,329,2022-09-01
410,93,503,2022-09-02
1201,128,1329,2022-09-03
1356,143,1499,2022-09-04
485,94,579,2022-09-05
245,70,315,2022-09-06
247,79,326,2022-09-07
266,53,319,2022-09-08
391,86,477,2022-09-09
678,100,778,2022-09-10
435,100,535,2022-09-11
277,64,341,2022-09-12
235,38,273,2022-09-13
220,40,260,2022-09-14
348,51,399,2022-09-15
321,74,395,2022-09-16
644,107,751,2022-09-17
449,126,575,2022-09-18
339,61,400,2022-09-19
175,56,231,2022-09-20
228,48,276,2022-09-21
223,55,278,2022-09-22
406,101,507,2022-09-23
717,104,821,2022-09-24
493,82,575,2022-09-25
256,57,313,2022-09-26
240,45,285,2022-09-27
244,52,296,2022-09-28
279,42,321,2022-09-29
295,71,366,2022-09-30
